,Average Price,Forecast Price
2013-06-30,21.772727272727273,
2013-07-31,23.48,
2013-08-31,28.142857142857142,
2013-09-30,30.36,
2013-10-31,36.77777777777778,
2013-11-30,39.291666666666664,
2013-12-31,30.895833333333332,
2014-01-31,23.6875,
2014-02-28,19.152173913043477,
2014-03-31,22.477272727272727,
2014-04-30,26.08695652173913,
2014-05-31,28.47826086956522,
2014-06-30,36.36,
2014-07-31,39.67741935483871,
2014-08-31,46.18333333333333,
2014-09-30,46.232142857142854,
2014-10-31,51.02272727272727,
2014-11-30,42.75,
2014-12-31,29.616666666666667,
2015-01-31,21.178571428571427,
2015-02-28,19.06,
2015-03-31,18.203703703703702,
2015-04-30,17.339285714285715,
2015-05-31,17.15,
2015-06-30,20.5,
2015-07-31,23.338709677419356,
2015-08-31,28.516129032258064,
2015-09-30,32.85,
2015-10-31,36.854838709677416,
2015-11-30,31.6,
2015-12-31,28.129032258064516,
2016-01-31,28.016129032258064,
2016-02-29,22.56896551724138,
2016-03-31,22.482758620689655,
2016-04-30,25.05,
2016-05-31,33.82258064516129,
2016-06-30,35.3,
2016-07-31,37.87096774193548,
2016-08-31,40.806451612903224,
2016-09-30,37.3,
2016-10-31,36.79032258064516,
2016-11-30,41.61666666666667,
2016-12-31,30.70967741935484,
2017-01-31,25.741935483870968,
2017-02-28,20.444444444444443,
2017-03-31,17.137931034482758,
2017-04-30,19.866666666666667,
2017-05-31,21.0,
2017-06-30,22.533333333333335,
2017-07-31,25.725806451612904,
2017-08-31,31.983870967741936,
2017-09-30,31.32758620689655,
2017-10-31,36.16129032258065,
2017-11-30,38.63333333333333,
2017-12-31,34.6875,
2018-01-31,27.45,
2018-02-28,21.446428571428573,
2018-03-31,23.633333333333333,
2018-04-30,31.35,
2018-05-31,29.161290322580644,
2018-06-30,33.266666666666666,
2018-07-31,40.16129032258065,
2018-08-31,45.145161290322584,
2018-09-30,53.25,
2018-10-31,59.17741935483871,
2018-11-30,51.666666666666664,
2018-12-31,39.645161290322584,
2019-01-31,29.838709677419356,
2019-02-28,22.035714285714285,
2019-03-31,22.083333333333332,
2019-04-30,25.033333333333335,
2019-05-31,27.016129032258064,
2019-06-30,32.15,
2019-07-31,38.13333333333333,
2019-08-31,40.96774193548387,
2019-09-30,51.416666666666664,
2019-10-31,63.306451612903224,
2019-11-30,49.333333333333336,
2019-12-31,51.596774193548384,
2020-01-31,46.03703703703704,
2020-02-29,34.1551724137931,
2020-03-31,32.724137931034484,
2020-04-30,35.375,
2020-05-31,31.0,
2020-06-30,35.516666666666666,
2020-07-31,56.2,
2020-08-31,67.70967741935483,
2020-09-30,89.76666666666667,
2020-10-31,99.20689655172414,
2020-11-30,75.68333333333334,
2020-12-31,60.08064516129032,
2021-01-31,34.435483870967744,
2021-02-28,26.839285714285715,
2021-03-31,27.783333333333335,
2021-04-30,34.083333333333336,
2021-05-31,38.84615384615385,
2021-06-30,,52.57058437940542
2021-07-31,,58.14518176682536
2021-08-31,,62.98911666579112
2021-09-30,,65.84694650211352
2021-10-31,,66.68155564088902
2021-11-30,,65.44014842646187
2021-12-31,,60.51249131821135
2022-01-31,,55.749523711253275
2022-02-28,,51.674410603098146
2022-03-31,,49.67303554363999
2022-04-30,,49.60607421812821
2022-05-31,,51.53714472459921
