,Average Price,Forecast Price
2013-06-30,23.636363636363637,
2013-07-31,35.36,
2013-08-31,31.523809523809526,
2013-09-30,39.58,
2013-10-31,52.68518518518518,
2013-11-30,61.17391304347826,
2013-12-31,31.375,
2014-01-31,27.583333333333332,
2014-02-28,30.630434782608695,
2014-03-31,43.81818181818182,
2014-04-30,37.84782608695652,
2014-05-31,21.956521739130434,
2014-06-30,26.74,
2014-07-31,20.096774193548388,
2014-08-31,38.6,
2014-09-30,42.32142857142857,
2014-10-31,42.75,
2014-11-30,25.4,
2014-12-31,32.31666666666667,
2015-01-31,26.75,
2015-02-28,16.38,
2015-03-31,39.851851851851855,
2015-04-30,35.80357142857143,
2015-05-31,49.833333333333336,
2015-06-30,44.75,
2015-07-31,52.04838709677419,
2015-08-31,51.83870967741935,
2015-09-30,28.733333333333334,
2015-10-31,23.870967741935484,
2015-11-30,52.6551724137931,
2015-12-31,47.483870967741936,
2016-01-31,22.112903225806452,
2016-02-29,26.017241379310345,
2016-03-31,34.91379310344828,
2016-04-30,29.3,
2016-05-31,58.33870967741935,
2016-06-30,52.21666666666667,
2016-07-31,66.74193548387096,
2016-08-31,58.11290322580645,
2016-09-30,47.38333333333333,
2016-10-31,61.483870967741936,
2016-11-30,35.016666666666666,
2016-12-31,31.35483870967742,
2017-01-31,24.79032258064516,
2017-02-28,17.85185185185185,
2017-03-31,28.775862068965516,
2017-04-30,30.333333333333332,
2017-05-31,35.25,
2017-06-30,40.4,
2017-07-31,31.741935483870968,
2017-08-31,55.193548387096776,
2017-09-30,48.39655172413793,
2017-10-31,51.403225806451616,
2017-11-30,66.58928571428571,
2017-12-31,49.895833333333336,
2018-01-31,30.0,
2018-02-28,23.160714285714285,
2018-03-31,36.6,
2018-04-30,29.4,
2018-05-31,32.0,
2018-06-30,35.35,
2018-07-31,20.129032258064516,
2018-08-31,28.806451612903224,
2018-09-30,42.4,
2018-10-31,48.03225806451613,
2018-11-30,23.083333333333332,
2018-12-31,19.79032258064516,
2019-01-31,25.080645161290324,
2019-02-28,26.482142857142858,
2019-03-31,45.93333333333333,
2019-04-30,39.15,
2019-05-31,72.8,
2019-06-30,38.21666666666667,
2019-07-31,51.53225806451613,
2019-08-31,65.0,
2019-09-30,38.766666666666666,
2019-10-31,52.41379310344828,
2019-11-30,47.166666666666664,
2019-12-31,35.61290322580645,
2020-01-31,30.112903225806452,
2020-02-29,17.79310344827586,
2020-03-31,43.36206896551724,
2020-04-30,31.61764705882353,
2020-05-31,27.583333333333332,
2020-06-30,23.366666666666667,
2020-07-31,20.983333333333334,
2020-08-31,47.5,
2020-09-30,65.37037037037037,
2020-10-31,57.5,
2020-11-30,44.833333333333336,
2020-12-31,46.693548387096776,
2021-01-31,22.403225806451612,
2021-02-28,16.25,
2021-03-31,27.2,
2021-04-30,24.583333333333332,
2021-05-31,18.653846153846153,
2021-06-30,,39.361407965685146
2021-07-31,,38.09271345490136
2021-08-31,,49.960352498790385
2021-09-30,,43.38720583366172
2021-10-31,,52.39012968430792
2021-11-30,,39.434061994279276
2021-12-31,,32.974839434489446
2022-01-31,,29.409087715134486
2022-02-28,,27.12781670828058
2022-03-31,,43.403322373319675
2022-04-30,,38.09124097355527
2022-05-31,,57.855444237309975
